Artist,Title,Lyrics,Mood
Usher,There Goes My Baby,"There goes my baby
(oo girl look at you)
You don't know how good it feels to call you my girl
There goes my baby
Loving everything you do
Oo girl look at you

Bet you ain't know that I be checking you out
When you be putting your heels on
I swear your body's so perfect baby
How you work it baby yea
I love the way that you be poking it out
Girl give me something to feel on
So please believe we gone be twerking it out
By the end of the night baby

I've been waiting all day to wrap my hands
Around your waist and kiss your face
Wouldn't trade this feeling for nothing
Not even for a minute
And I'll sit here long as it takes
To get you all alone
But as soon as you come walking my way
You gon hear me say

There goes my baby
(oo girl look at you)
You don't know how good it feels to call you my girl
There goes my baby
Loving everything you do
Oo girl look at you

I get the chills whenever I see your face
And you in the place girl
Feel like I'm in a movie baby
I'm like oowee baby oh
Like waterfalls your hair falls down to your waist
Can I get a taste girl
No need to keep this baby
I ain't ashamed of calling your name girl

I've been waiting all day to wrap my hands
Around your waist and kiss your face
Wouldn't trade this feeling for nothing
Not even for a minute
And I'll sit here long as it takes
To get you all alone
But as soon as you come walking my way
You gon hear me say

There goes my baby
(oo girl look at you)
You don't know how good it feels to call you my girl
There goes my baby
Loving everything you do
Oo girl look at you

And girl I feel like it's our first time
Everytime we get together
Baby loving you feels better than
Everything, anything
Put on my heart you don't need a ring
And I promise our time away won't change my love

There goes my baby
(oo girl look at you)
You don't know how good it feels to call you my girl
There goes my baby
Loving everything you do
Oo girl look at you

There goes my baby
(oo girl look at you)
You don't know how good it feels to call you my girl
There goes my baby
Loving everything you do
Oo girl look at you
",relaxed
Da'Ville,On My Mind,"I'm thinking about you
Girl, oh, I miss you
Baby, ever since that day you went away
I can't live without you
You're always on my mind
You're always on my mind
You're always on my mind
Girl, you're on my mind
I gave you all of me
And now you're not here with me
Nothing will ever change
My love for you remains the same
I can't wait to see you again
You're always on my mind
You're always on my mind
You're always on my mind
Girl, you're on my mind
If I don't see you today
I hope I see you tomorrow
Girl, I gotta let you know how I feel
This love is real and I don't wanna fool myself
It belongs to you and no one else
You're always on my mind
You're always on my mind
You're always on my mind
Girl, you're on my mind
Yeah, you're on my mind
You're always on my mind
Girl, you're on my mind
You're always on my mind
Yeah you're on my mind
You're always on my mind
Girl you're on my mind
Always on my mind",relaxed
Rihanna,Rockstar 101 ,"I told ya
I told ya
I told ya
Baby
Baby
Uh, uh
I told ya, baby
Uh-oh
I told ya, baby
Uh-oh
I told ya, baby
Uh-oh
I told ya, baby
Uh-oh
I told ya, baby
Uh-oh
I told ya

Got up in the club
Posted in the back
Feeling so good
Looking so bad

Rocking this skirt
Rocking this club
Got my middle finger up
I don't really give a fuck

Rocking these diamonds
I'm rocking this chain
Make sure you get a picture
I'm rocking my fame

To be what you is
You gotta be what you are
The only thing I'm missing
Is a black guitar

I'm a rockstar
Hey baby
I'm a rockstar
Hey baby

Big city
Bright lights
Sleep all day
Up all night

Hey baby
I'm a rockstar
Hey baby
I'm a rockstar

Hey baby its..
Big cities
And bright lights
Sleep all day
Up all nights

Baby I'm a
Oh, baby I'm a
Oh, baby I'm a
Oh, baby I'm a
Oh, baby I'm a
Oh, baby I'm a
Oh, baby I'm a
Oh, baby I'm a
Hey, hey, hey

Six inch walker
Big shit talker
I never play the victim
I'd rather be a stalker

So baby take me in
I'll disobey the law
Make sure you frisk me good
Check my panties and my bra

Wildn out
A crazy house
With my white jacket on
Wont you come
And sign me out

To be what you is
You gotta be what you are
The only thing I'm missing
Is a black guitar

I'm a rockstar
Hey baby
I'm a rockstar
Hey baby

Big city
Bright lights
Sleep all day
Up all night

Hey baby
I'm a rockstar
Hey baby
I'm a rockstar

Hey baby its..
Big cities
And bright lights
Sleep all day
Up all nights

Baby I'm a
Oh, baby I'm a
Oh, baby I'm a
Oh, baby I'm a
Oh, baby I'm a
Oh, baby I'm a
Oh, baby I'm a
Oh, baby I'm a
Hey, hey, hey

Hey
I'm rocking out tonight
Cause I cant wait till tomorrow
I'm a live my whole life
In the night
Cause I ain't got time to borrow
I'm rocking out tonight
Why wait till tomorrow
I'm a live my whole life
In the night

I'm a rockstar
Hey baby
I'm a rockstar
Hey baby

Big city
Bright lights
Sleep all day
Up all night

Hey baby
I'm a rockstar
Hey baby
I'm a rockstar

Hey baby its..
Big cities
And bright lights
Sleep all day
Up all nights

Baby I'm a
Oh, baby I'm a
Oh, baby I'm a
Oh, baby I'm a
Oh, baby I'm a
Oh, baby I'm a
Oh, baby I'm a
Oh, baby I'm a
Hey, hey, hey",relaxed
J. Holiday,Bed,"Boy tell me what you want and I'll give you what you like, yeah
Uh huh, alright, yes, my body's yours tonight
Anything that you need, you can have it from me
'Cause baby I'm here to please, so put your love into me
I know you like when I tease like that (like that)
Like that, especially when I'm at
Don't stop, ooh I like what you're doing so please don't move
Never met a man that turns me on like you do, oh oh oh
I love it, I love it, you love it, you love it,
Every time, every time, we touchin', we touchin',
I want it, I want it, you want it, you want it,
Baby I'll see you, see you
In the morning, in the morning
Wanna put my fingers through your hair
Wrap me up in your legs
And love you til' your eyes roll back
I'm tryna put you to bed, bed, bed
I'ma put you to bed, bed, bed
And if you like my body, turn me over
Love is war, you're my soldier
Touchin' me like it's our first time
I'ma put you to bed, bed, bed
I'ma put you to bed, bed, bed
I'm starin' at you while you're sleep
Irreplaceable beauty
Put my face up in your neck and breathe (ooh, breathe)
Take you into my senses
Wake up it's time to finish
Round two, round two
Matter of fact, it's closer to three
She like,   how long I been sleep?
Shawty kisses turn into the sweetest dreams
Like give it to me
And I can feel her tell me
  My angel, this is wonderful
Thanks for letting me bless ya
Come down, fly right
Drift back into heaven
Oh, oh, oh, oh
I love it, I love it, you love it, you love it,
Everytime, everytime, we touchin', we touchin',
I want it, I want it, you want it, you want it,
Baby I'll see you, see you in the morning, in the morning
Wanna put my fingers through your hair
Wrap me up in your legs
And love you til' your eyes roll back
I'm tryna put you to bed, bed, bed
I'ma put you to bed, bed, bed
And you can rock my body, turn me over
Love is war, you're my soldier
Touchin' me like it's our first time
I'ma put you to bed, bed, bed
I'ma put you to bed, bed, bed
Watch the sunlight peak over the horizon
Ooh ooh, ooh ooh, ooh ooh, ooh ooh
The sun ain't the only thing that's shinin'
Ooh ooh, ooh ooh, ooh ooh, ooh ooh
Now I'ma send you out into the world with my love
Tell everybody, ay
Everybody aay
Ay ay ay
Aay, ay ay ay
Aay, ay ay ay, ay (Ooh! Baby!)
Wanna put my fingers through your hair
Wrap me up in your legs
And love you til' your eyes roll back
I'm tryna put you to bed, bed, bed
I'ma put you to bed, bed, bed
Then I'ma rock your body, turn your over
Love is war, I'm my soldier
Touchin' me like it's our first time",relaxed
Morgan Heritage,Don't Haffi Dread,"You don't ha fi dread to be Rasta
(Don't ha fi dread)
This is not a dreadlocks thing
Divine conception of the heart, well

You don't ha fi dread to be Rasta
(Don't ha fi dread)
This is not a dreadlocks thing
Divine conception of the heart, well

Oh, it's a life of a levity
Lived by the fathers of our history
Uphold the anciency and prophecy
Trust in the power of the Trinity, yeah

Got to believe in His Majesty
Oh yes, His lineage and divinity
The first step is serenity
Knowing one self's true royalty, yeah, yeah, yeah

You don't ha fi dread to be Rasta
(Don't ha fi dread)
This is not a dreadlocks thing
Divine conception of the heart, well

You don't ha fi dread to be Rasta, well
(Don't ha fi dread)
This is not a dreadlocks thing
Divine conception of the heart, well

Don't be afraid of Jah ever burning fire
Trust in Jah fire and you'll never get burn
The fire that reigns over heat, air and water
No water can put out Jah fire
Jah fire gonna lift Rasta higher

You don't ha fi dread to be Rasta, yeah
(Don't ha fi dread)
This is not a dreadlocks thing
Divine conception of the heart, well

You don't ha fi dread to be Rasta, yeah
(Don't ha fi dread)
This is not a dreadlocks thing
Divine conception of the heart

Don't be afraid of Jah ever burning fire
Just trust in Jah fire and you'll never get burn
The fire that reigns over heat, air and water
No water can put out Jah fire
Jah fire gonna lift Rasta higher

You don't ha fi dread to be Rasta
(Don't ha fi dread)
This is not a dreadlocks thing
Divine conception of the heart, well

You don't ha fi dread to be Rasta
(Don't ha fi dread)
This is not a dreadlocks thing
Divine conception of the heart

You don't ha fi dread to be Rasta
(Don't ha fi dread)
This is not a dreadlocks thing
Divine conception of the heart

You don't ha fi dread to be Rasta",angry
Whitney Houston,My Love Is Your Love,"If tomorrow is judgment day
And I'm standing on the front line
And the Lord asks me what I did with my life
I will say I spent it with you

If I wake up in World War III
I see destruction and poverty
And I feel like I want to go home
It's okay if you're coming with me

'Cause your love is my love
And my love is your love
It would take an eternity to break us
And the chains of Amistad couldn't hold us
'Cause your love is my love
And my love is your love
It would take an eternity to break us
And the chains of Amistad couldn't hold us

If I lose my fame and fortune (really don't matter)
And I'm homeless on the street (on the street Lord)
And I'm sleeping in Grand Central Station (okay)
It's okay if you're sleeping with me

As the years they pass us by (the years, the years, the years, the years, the years)
We stay young through each other's eyes (each other's eyes)
And no matter how old we get
It's okay as long as I got you baby

'Cause your love is my love
And my love is your love
It would take an eternity to break us
And the chains of Amistad couldn't hold us
'Cause your love is my love
And my love is your love
It would take an eternity to break us
And the chains of Amistad couldn't hold us

If I should die this very day (very very very day)
Don't cry (don't cry), 'cause on Earth we weren't meant to stay
And no matter what the people say (really don't matter)
I'll be waiting for you after the judgment day

'Cause your love is my love
And my love is your love
It would take an eternity to break us
And the chains of Amistad couldn't hold us
'Cause your love is my love
And my love is your love
It would take an eternity to break us
And the chains of Amistad couldn't hold us",happy
Serani,Study People,"[Intro:]
Seri, Seri, Seri, Serani!
Everywhere I go they find me
Hypocrites and badminds
Every, every, every, every

Everywhere I Go
They fine me
Hypocrites and badminds
Every every every every

Everywhere I Go they find me
Backstabbers and parasites

[Chorus:]
Some some somebody tell me what
They want from me
Me say ya can't study people
Dem same people a study bare evil
But good ova evil me see say dem feeble
I'm fighting for a cause a mi them can't pause
Yeah me say ya can't study people
Dem same people a study bare evil
But good ova evil me see say dem feeble
I'm fightin for a cause

[Verse 1:]
Because' u kno it's everywhere
Evil in the atmosphere things catching
Righteous please beware
We dem watchin
Chit chatting it's clear there's so
Many envious out there
By the power in me
And the help of the father,
Serani never fear another
I'm a live up, never give up, choose the ripper

[Chorus:]
Somebody tell me what
They want from me
Me say ya can't study people
Dem same people a study bare evil
But good ova evil me see say dem feeble
I'm fighting for a cause a mi them can't pause
Yeah me say ya can't study people
Dem same people a study bare evil
But good ova evil me see say dem feeble
I'm fightin for a cause
Because

[Verse 2:]
For me, the fassy dem a plan
Dem ago lose the battle
Cause almighty ah me Dan
Me conscience free cah me never do no wrong
A music me make, write and sing song
Remember I said u can see it in their face
We no the genuine ones from the fakes
Judge dem by the way them embrace
Such disgrace...

[Chorus:]
Some some somebody tell me what
They want from me
Me say ya can't study people
Dem same people a study bare evil
But good ova evil me see say dem feeble
I'm fighting for a cause a mi them can't pause
Yeah me say ya can't study people
Dem same people a study bare evil
But good ova evil me see say dem feeble
I'm fightin for a cause
Because

[Bridge:]
Everywhere I Go
They fine me
Hypocrites and badminds
Every every every every

Everywhere I Go they find me
Backstabbers and parasites

[Chorus:]
Some some somebody tell me what
They want from me
Me say ya can't study people
Dem same people a study bare evil
But good ova evil me see say dem feeble
I'm fighting for a cause a mi them can't pause
Yeah me say ya can't study people
Dem same people a study bare evil
But good ova evil me see say dem feeble
I'm fightin for a cause
Because
",angry
Austra,Spellwork,"Habit alone, when separate I moan
Feeding on bones or anything grown
I command post and nobody shows
In mornings I rest here
In evenings I work here
My debt isn't spent till the rest of me's left
All I adore...

You must be the call
The evil at night
Speaking words of grace
While spellwork delights
Feel my desire, it burns like a fire
Feel my desire, it burns like a fire

I work alone saving my soul
If yesterday hurts, tomorrow is worse
Send me a sign, for my body's aligned
I'm ready to waste all my limbs and my face
My pores are wide open
And bleed for your potion
Spellwork and lies!

You must be the call
The evil at night
Speaking words of grace
While spellwork delights
Feel my desire, it burns like a fire
Feel my desire, it burns like a fire

You must be the call
The evil at night
Speaking words of grace
While spellwork delights
Feel my desire, it burns like a fire
Feel my desire, it burns like a fire",angry
Coro,Can't Let You Go,"I should have known you'd be this way
Serves me right, to fall in love

You brought me love then you took it back
We had it all and that's a fact
Love is a game that we all play
There's one thing I've got to say
I gave you my heart and I gave you my world
I spent those lonley nights right here in the cold
Everytime you touch me my body starts to quiver
All I want to do is love you all night long

Chorus:
Can't let you go my love
It's you that I need
You keep me wanting you
You push my love aside
Repeat (1x)

I can't help but think of how you made me feel
Everytime I think of the two of us
Can't realize
Can't realize
Can't seem to buy it
Now that you're gone
Now that you're gone

Chorus (2x)

Can't let you go my love
You fit me like a glove
'Cause when you hold me tight
The feelings oh so right
Just can't foget those times
When you were mine, all mine
This love I have for you is true
So come back to the one who loves you

Can't let you go...
Can't let you go...

Everytime you touch me my body starts to quiver
All I want to do is love you all night long...

I should have known that you'd be this way
Serves me right to fall in love
I can't help but think how you left me feeling
Everytime I think about the two of us
Can't realize
Can't seem to buy it
Now that you're gone
Now that you're gone

Chorus (3x)

I can't let you go",happy
Beenie Man,Slam,"Well this is like
A menance to di society
Big enough fi all di ghetto lady (All gals!)
Rock out and gwaan crazy (Big tip!)
Sing along (Sung)
Gimmie the girl dem wit
The wickedest slam
Di kinda girl wheyknow fi
Love up she man
Man if yuh have fi get di medal
Yuh have fi get a slam
From a real ghetto girl (Again)
Gimmie the girl dem wit
The wickedest slam
Di kinda girl whey know fi
Love up she man
Man if yuh have fi get di medal
Yuh have fi get a slam
From a real ghetto girl (Boy!)
Man if yuh never get yuh
Pedal an wheel
An if yuh nevah have
Yuh bananna peel
Man if yuh have fi know how
Good lovin feel
Yuh affi find a girl whey live a Maxfield
Man if yuh love your girlfriend
To yuh heart
But yuh not get di slam
Whey yuh want
Only bad things can gwaan
If yuh hide
'cause you got Junglis girl pon de side ('Cause!)
A ghetto girl love up
Di wickedest slam
Di kinda girl whey know fi
Love up she man
Man if yuh have fi get di medal
Yuh have fi get a slam
From a real ghetto girl (Again)
Gimmie the girl dem wit
The wickedest slam
Di kinda girl whey know fi
Love up she man
Man if yuh have fi get di medal
Yuh have fi get a slam
From a real ghetto girl (Caw)
Me not gon wife up
No girl if she bow
Gal inna bed an
She nuh know what to do
But me not gon
Wrinkle and screw
Because me dun have
Me gal a Seaview
Me not gon run to get
No uptown girl
True, she brown and
She pretty like pearl
True, me know
A mamma man round de world
You could-a find out
Your girl-a name Earl
Man if yuh have a ghetto girl
A look fi proud
Although she might-a look
Kinda loud
But when it come down to
Who run di road
A ghetto girl dem a
Movin the crowd (so)
Gimmie the girl dem wit
The wickedest slam
Di kinda girl whey know fi
Love up she man
Man if yuh have fi get di medal
Yuh have fi get a slam
From a real ghetto girl (Again)
Gimmie the girl dem wit
The wickedest slam
Di kinda girl whey know fi
Love up she man
Man if yuh have fi get di medal
Yuh have fi get a slam
From a real ghetto girl (Man!)
If yuh never get a
Pedal an wheel
An if yuh nevah have
Yuh bananna peel
Man if yuh have fi know
Good lovin feel
Yuh affi get a girl whey live a Maxfield
Man if yuh love your girlfriend
To your heart
But yuh not get di slam
Where yuh want
Only bad things can gwaan
If yuh hide
'cause you got Junglis girl pon de side (So!)
A ghetto girl dem have
Di wickedest slam
Di kinda girl whey know fi
Love up she man
Man if yuh have fi get di medal
Yuh have fi get a slam
From a real ghetto girl",relaxed
