,Actual_sentiment,Predicted_sentiment,Title
0,angry,happy,I Hate Myself For Loving You
1,sad,happy,You Are Not Alone
2,happy,happy,I Love How You Love Me
3,happy,happy,Friend Of God
4,happy,happy,The Way You Love Me
5,happy,happy,I Believe 
6,angry,angry,Sweet Dreams 
7,angry,angry,Wicked Garden
8,angry,angry,Breathe
9,relaxed,angry,Home
10,angry,angry,Take Back The Fear
11,angry,happy,Harvester Of Sorrow
12,happy,happy,Don't Tell Me You Love Me
13,angry,angry,War Pigs
14,sad,sad,Slow Motion 
15,sad,relaxed,Tell Me You Get Lonely
16,relaxed,happy,When The Sun Goes Down 
17,angry,sad,Do You Call My Name
